"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 89","15.91","15.63","17.25","15.59","69.28K","2.51%"
"Feb 89","16.40","15.69","16.61","15.16","55.27K","3.08%"
"Mar 89","19.55","16.62","19.75","16.50","88.40K","19.21%"
"Apr 89","18.94","18.90","20.45","18.15","98.99K","-3.12%"
"May 89","17.75","18.75","18.90","16.68","85.86K","-6.28%"
"Jun 89","17.49","17.65","18.10","16.00","112.47K","-1.46%"
"Jul 89","16.52","17.58","18.27","16.40","95.61K","-5.55%"
"Aug 89","17.24","16.72","17.30","16.28","87.55K","4.36%"
"Sep 89","18.16","17.17","18.20","17.11","87.29K","5.34%"
"Oct 89","18.63","18.33","19.20","18.11","120.50K","2.59%"
"Nov 89","18.49","18.82","19.15","18.07","94.74K","-0.75%"
"Dec 89","20.28","18.54","20.30","18.50","85.76K","9.68%"
"Jan 90","20.06","20.20","22.28","19.02","125.01K","-1.08%"
"Feb 90","19.48","19.90","20.20","19.12","96.02K","-2.89%"
"Mar 90","18.38","19.48","19.68","18.00","125.89K","-5.65%"
"Apr 90","17.12","18.49","18.65","15.94","90.08K","-6.86%"
"May 90","16.24","17.20","18.16","16.10","128.86K","-5.14%"
"Jun 90","16.14","16.31","16.46","15.33","116.69K","-0.62%"
"Jul 90","19.84","16.83","19.85","15.53","124.97K","22.92%"
"Aug 90","26.75","19.86","31.10","19.79","172.21K","34.83%"
"Sep 90","39.10","27.60","39.15","27.60","238.54K","46.17%"
"Oct 90","34.41","38.20","40.95","26.05","320.26K","-11.99%"
"Nov 90","29.20","34.60","35.18","27.95","260.61K","-15.14%"
"Dec 90","28.27","29.00","30.70","25.45","205.60K","-3.18%"
"Jan 91","20.06","28.10","31.20","17.90","469.48K","-29.04%"
"Feb 91","18.68","20.10","20.90","16.00","257.09K","-6.88%"
"Mar 91","17.95","18.50","20.90","17.40","186.57K","-3.91%"
"Apr 91","19.42","17.88","20.30","17.60","236.13K","8.19%"
"May 91","19.21","19.35","20.37","18.94","222.75K","-1.08%"
"Jun 91","18.72","19.25","19.35","17.71","221.87K","-2.55%"
"Jul 91","19.74","18.75","20.22","18.61","233.73K","5.45%"
"Aug 91","20.70","19.76","22.20","19.18","328.09K","4.86%"
"Sep 91","21.05","20.70","21.19","19.78","237.68K","1.69%"
"Oct 91","22.10","20.98","22.83","20.79","343.06K","4.99%"
"Nov 91","20.13","21.15","22.66","19.58","307.96K","-8.91%"
"Dec 91","17.61","20.25","20.27","17.30","250.73K","-12.52%"
"Jan 92","18.15","18.00","18.68","16.68","322.91K","3.07%"
"Feb 92","17.55","18.13","19.04","17.13","254.89K","-3.31%"
"Mar 92","18.14","17.50","18.18","17.18","236.10K","3.36%"
"Apr 92","19.66","18.20","19.70","18.15","279.54K","8.38%"
"May 92","20.79","19.57","20.92","19.12","267.48K","5.75%"
"Jun 92","20.41","20.80","21.61","20.35","333.95K","-1.83%"
"Jul 92","20.47","20.60","20.84","19.80","357.48K","0.29%"
"Aug 92","19.87","20.37","20.42","19.53","299.32K","-2.93%"
"Sep 92","20.34","19.95","20.76","19.90","313.93K","2.37%"
"Oct 92","19.45","20.36","20.95","19.20","354.07K","-4.38%"
"Nov 92","18.84","19.50","19.70","18.73","364.40K","-3.14%"
"Dec 92","18.29","18.91","18.93","17.65","368.18K","-2.92%"
"Jan 93","18.47","18.20","18.69","16.82","448.33K","0.98%"
"Feb 93","18.92","18.45","19.20","17.62","387.44K","2.44%"
"Mar 93","18.90","18.93","19.68","18.25","431.58K","-0.11%"
"Apr 93","19.15","18.93","19.24","18.68","343.37K","1.32%"
"May 93","18.60","19.25","19.30","18.10","348.25K","-2.87%"
"Jun 93","17.51","18.61","18.77","17.32","416.70K","-5.86%"
"Jul 93","16.75","17.51","17.51","15.90","524.51K","-4.34%"
"Aug 93","17.08","16.70","17.55","16.25","407.20K","1.97%"
"Sep 93","17.43","17.05","17.57","15.47","564.72K","2.05%"
"Oct 93","15.80","17.25","17.48","15.80","432.40K","-9.35%"
"Nov 93","14.52","15.90","16.41","13.97","550.97K","-8.10%"
"Dec 93","13.20","14.44","14.62","13.20","468.68K","-9.09%"
"Jan 94","14.22","13.55","14.58","13.42","520.02K","7.73%"
"Feb 94","13.35","14.19","15.13","12.90","391.99K","-6.12%"
"Mar 94","13.25","13.43","14.15","12.95","476.30K","-0.75%"
"Apr 94","15.69","14.20","15.87","14.05","464.67K","18.42%"
"May 94","16.45","15.85","16.79","15.45","488.22K","4.84%"
"Jun 94","17.52","16.44","17.76","15.73","444.85K","6.50%"
"Jul 94","18.59","17.55","18.68","17.01","472.87K","6.11%"
"Aug 94","16.24","18.90","19.41","15.60","501.23K","-12.64%"
"Sep 94","17.15","16.40","17.20","15.35","411.27K","5.60%"
"Oct 94","16.92","17.10","17.32","15.62","459.43K","-1.34%"
"Nov 94","17.11","16.92","17.94","16.34","497.98K","1.12%"
"Dec 94","16.50","17.12","17.16","15.60","376.26K","-3.57%"
"Jan 95","16.80","16.48","17.08","16.05","521.02K","1.82%"
"Feb 95","16.87","16.84","17.57","16.58","413.75K","0.42%"
"Mar 95","17.50","16.92","17.60","16.36","452.34K","3.73%"
"Apr 95","19.06","17.42","19.17","17.28","508.70K","8.91%"
"May 95","17.70","19.25","19.38","17.31","429.69K","-7.14%"
"Jun 95","16.38","17.69","18.24","16.20","405.98K","-7.46%"
"Jul 95","16.01","16.40","16.40","15.41","383.95K","-2.26%"
"Aug 95","16.25","16.15","16.51","15.76","393.79K","1.50%"
"Sep 95","16.12","16.28","17.04","15.83","443.45K","-0.80%"
"Oct 95","16.33","16.16","16.42","15.58","420.09K","1.30%"
"Nov 95","17.04","16.37","17.19","16.21","415.92K","4.35%"
"Dec 95","18.33","17.07","18.53","17.06","357.82K","7.57%"
"Jan 96","16.52","18.55","19.31","15.93","505.04K","-9.87%"
"Feb 96","17.76","16.60","18.45","16.43","410.02K","7.51%"
"Mar 96","19.41","17.90","20.30","17.20","481.39K","9.29%"
"Apr 96","19.02","19.40","23.30","18.08","475.88K","-2.01%"
"May 96","17.80","18.85","19.68","16.75","472.46K","-6.41%"
"Jun 96","18.91","17.76","19.24","17.48","411.05K","6.24%"
"Jul 96","18.90","18.93","20.55","18.67","439.95K","-0.05%"
"Aug 96","20.78","19.00","21.00","18.79","417.85K","9.95%"
"Sep 96","23.21","21.48","24.39","21.45","429.22K","11.69%"
"Oct 96","22.67","22.90","25.06","22.62","430.43K","-2.33%"
"Nov 96","22.77","22.65","23.99","22.11","422.94K","0.44%"
"Dec 96","23.81","22.85","24.65","22.00","334.39K","4.57%"
"Jan 97","22.52","24.50","24.91","22.00","455.21K","-5.42%"
"Feb 97","18.85","22.45","22.77","18.80","412.70K","-16.30%"
"Mar 97","19.38","18.95","20.84","18.68","468.89K","2.81%"
"Apr 97","18.52","19.06","19.27","17.54","470.11K","-4.44%"
"May 97","19.40","18.42","20.60","17.87","386.67K","4.75%"
"Jun 97","18.51","19.31","19.62","17.32","444.80K","-4.59%"
"Jul 97","18.94","18.54","19.09","17.80","491.93K","2.32%"
"Aug 97","18.51","18.76","19.64","18.10","410.17K","-2.27%"
"Sep 97","19.90","18.50","20.13","18.15","466.08K","7.51%"
"Oct 97","20.02","19.82","21.75","19.30","544.47K","0.60%"
"Nov 97","18.94","20.45","20.45","18.36","423.66K","-5.39%"
"Dec 97","16.52","18.44","18.48","16.50","371.75K","-12.78%"
"Jan 98","15.96","16.80","16.80","14.70","533.90K","-3.39%"
"Feb 98","14.17","15.95","15.95","13.73","490.41K","-11.22%"
"Mar 98","14.26","14.30","15.82","11.90","663.87K","0.64%"
"Apr 98","14.46","14.20","14.95","13.32","540.96K","1.40%"
"May 98","14.37","14.56","15.29","13.65","517.40K","-0.62%"
"Jun 98","13.38","14.21","14.76","12.15","633.20K","-6.89%"
"Jul 98","13.09","13.42","13.70","12.25","500.95K","-2.17%"
"Aug 98","12.56","13.06","13.06","11.55","484.55K","-4.05%"
"Sep 98","14.68","12.30","14.90","12.19","592.20K","16.88%"
"Oct 98","13.22","14.68","14.90","12.22","615.61K","-9.95%"
"Nov 98","10.46","13.32","13.44","10.08","580.95K","-20.88%"
"Dec 98","10.53","10.44","11.30","9.55","502.08K","0.67%"
"Jan 99","11.35","10.93","12.33","10.42","522.16K","7.79%"
"Feb 99","10.88","11.41","11.45","9.90","469.35K","-4.14%"
"Mar 99","15.24","10.93","15.28","10.63","679.41K","40.07%"
"Apr 99","16.57","14.70","16.68","14.00","554.69K","8.73%"
"May 99","15.20","16.70","17.09","14.91","594.22K","-8.27%"
"Jun 99","17.51","14.95","17.52","14.53","566.49K","15.20%"
"Jul 99","19.37","17.55","19.95","17.42","573.63K","10.62%"
"Aug 99","21.33","19.28","21.42","19.20","561.77K","10.12%"
"Sep 99","23.58","21.20","24.30","20.74","575.78K","10.55%"
"Oct 99","21.69","23.72","23.85","20.20","668.64K","-8.02%"
"Nov 99","23.64","21.85","25.90","21.74","608.48K","8.99%"
"Dec 99","25.08","24.25","26.15","23.20","488.57K","6.09%"